cycle,domain,aspiration,search_cost_per_option,optimizing_option,optimizing_adjusted_utility,optimizing_net_value,satisficing_option,satisficing_adjusted_utility,satisficing_net_value,satisficing_found,search_length,opportunity_loss,net_value_advantage,review_flag
1,Organizational Strategy,0.580059,0.027247,12,0.816534,0.489576,2,0.601381,0.546888,True,2,0.215154,0.057311,review
2,Financial Risk,0.778823,0.023112,10,0.73728,0.459938,10,0.73728,0.506162,False,10,0.0,0.046224,review
15,Healthcare,0.601797,0.024948,11,0.889997,0.590622,3,0.667466,0.592622,True,3,0.222531,0.002,review
17,AI Governance,0.710772,0.033501,10,0.609343,0.207329,10,0.609343,0.274331,False,10,0.0,0.067002,review
23,Infrastructure,0.764092,0.007792,11,0.774571,0.681072,11,0.774571,0.688864,True,11,0.0,0.007792,review
25,Public Policy,0.818358,0.008554,10,0.690486,0.587843,10,0.690486,0.60495,False,10,0.0,0.017107,review
28,Organizational Strategy,0.805202,0.029407,12,0.848358,0.495475,12,0.848358,0.495475,True,12,0.0,0.0,review
32,Financial Risk,0.819305,0.027403,9,0.731129,0.402293,9,0.731129,0.484502,False,9,0.0,0.082209,review
39,Healthcare,0.805262,0.006301,3,0.685351,0.60974,3,0.685351,0.666448,False,3,0.0,0.056709,review
41,Organizational Strategy,0.804105,0.017688,6,0.695328,0.483071,6,0.695328,0.589199,False,6,0.0,0.106129,review
42,Financial Risk,0.798815,0.015531,1,0.778927,0.592558,1,0.778927,0.763396,False,1,0.0,0.170838,review
44,Public Policy,0.78277,0.022273,4,0.69215,0.424877,4,0.69215,0.603059,False,4,0.0,0.178182,review
45,Organizational Strategy,0.80872,0.024363,1,0.719454,0.427094,1,0.719454,0.695091,False,1,0.0,0.267996,review
47,Infrastructure,0.817566,0.020722,6,0.737745,0.489081,6,0.737745,0.613413,False,6,0.0,0.124332,review
55,Financial Risk,0.71601,0.018048,5,0.663677,0.447098,5,0.663677,0.573436,False,5,0.0,0.126338,review
59,Healthcare,0.727858,0.026619,3,0.708627,0.3892,3,0.708627,0.62877,False,3,0.0,0.239571,review
65,Financial Risk,0.758217,0.026147,5,0.666979,0.353215,5,0.666979,0.536244,False,5,0.0,0.183029,review
68,Financial Risk,0.744022,0.005423,2,0.732232,0.667162,2,0.732232,0.721387,False,2,0.0,0.054225,review
70,Public Policy,0.797656,0.008366,11,0.697229,0.596834,11,0.697229,0.6052,False,11,0.0,0.008366,review
77,AI Governance,0.817387,0.033717,9,0.727549,0.322943,9,0.727549,0.424095,False,9,0.0,0.101151,review
81,Public Policy,0.758485,0.013861,4,0.75668,0.590344,4,0.75668,0.701235,False,4,0.0,0.110891,review
82,Public Policy,0.745708,0.021786,2,0.736393,0.474959,2,0.736393,0.69282,False,2,0.0,0.217861,review
87,Organizational Strategy,0.715809,0.01092,6,0.694881,0.563844,6,0.694881,0.629363,False,6,0.0,0.065518,review
88,AI Governance,0.709345,0.025163,2,0.696318,0.394358,2,0.696318,0.645991,False,2,0.0,0.251633,review
91,AI Governance,0.816082,0.025379,1,0.727662,0.423115,1,0.727662,0.702283,False,1,0.0,0.279169,review
94,Financial Risk,0.770619,0.034645,7,0.751864,0.336128,7,0.751864,0.509351,False,7,0.0,0.173223,review
96,Public Policy,0.692637,0.034331,12,0.631515,0.219544,12,0.631515,0.219544,False,12,0.0,0.0,review
102,Healthcare,0.760583,0.022541,3,0.699073,0.428578,3,0.699073,0.631449,False,3,0.0,0.202871,review
105,Organizational Strategy,0.64696,0.021336,7,0.921199,0.665172,1,0.704678,0.683342,True,1,0.216521,0.01817,review
108,AI Governance,0.769903,0.016352,11,0.74028,0.544062,11,0.74028,0.560414,False,11,0.0,0.016352,review
110,Infrastructure,0.593444,0.00725,8,0.59265,0.505649,8,0.59265,0.53465,False,8,0.0,0.029,review
112,Financial Risk,0.768209,0.01742,7,0.693995,0.484959,7,0.693995,0.572057,False,7,0.0,0.087098,review
113,Public Policy,0.664311,0.034648,3,0.894553,0.478772,1,0.674995,0.640347,True,1,0.219558,0.161575,review
114,Public Policy,0.762151,0.031024,10,0.638727,0.266435,10,0.638727,0.328484,False,10,0.0,0.062049,review
116,Financial Risk,0.740251,0.013219,2,0.601602,0.44297,2,0.601602,0.575163,False,2,0.0,0.132193,review
117,Public Policy,0.78345,0.034014,11,0.774959,0.366789,11,0.774959,0.400804,False,11,0.0,0.034014,review
119,Healthcare,0.642655,0.026401,12,0.648017,0.331204,12,0.648017,0.331204,True,12,0.0,0.0,review
121,Financial Risk,0.606533,0.028206,9,0.81628,0.477804,1,0.61155,0.583344,True,1,0.20473,0.105539,review
123,Public Policy,0.710359,0.006439,4,0.705148,0.627882,4,0.705148,0.679393,False,4,0.0,0.05151,review
124,AI Governance,0.812742,0.015738,11,0.716241,0.527389,11,0.716241,0.543127,False,11,0.0,0.015738,review
127,Organizational Strategy,0.739157,0.007857,2,0.679044,0.584757,2,0.679044,0.66333,False,2,0.0,0.078573,review
131,Healthcare,0.587309,0.023076,3,0.550907,0.273999,3,0.550907,0.48168,False,3,0.0,0.207682,review
144,Infrastructure,0.60689,0.009837,2,0.58695,0.468901,2,0.58695,0.567275,False,2,0.0,0.098374,review
148,Healthcare,0.577075,0.02025,11,0.807812,0.564809,4,0.580173,0.499172,True,4,0.227639,-0.065637,review
152,Healthcare,0.775434,0.03009,7,0.730765,0.369684,7,0.730765,0.520134,False,7,0.0,0.15045,review
154,AI Governance,0.735223,0.029426,12,0.707807,0.354698,12,0.707807,0.354698,False,12,0.0,0.0,review
158,Organizational Strategy,0.752206,0.031319,4,0.622781,0.246955,4,0.622781,0.497505,False,4,0.0,0.25055,review
160,Public Policy,0.811823,0.005664,10,0.7049,0.636933,10,0.7049,0.648261,False,10,0.0,0.011328,review
163,Public Policy,0.736097,0.015745,1,0.71146,0.522519,1,0.71146,0.695715,False,1,0.0,0.173195,review
165,AI Governance,0.743818,0.005393,10,0.725736,0.661025,10,0.725736,0.67181,False,10,0.0,0.010785,review
167,AI Governance,0.80006,0.012623,6,0.692979,0.541507,6,0.692979,0.617243,False,6,0.0,0.075736,review
175,Infrastructure,0.809523,0.0141,12,0.71445,0.545245,12,0.71445,0.545245,False,12,0.0,0.0,review
178,Organizational Strategy,0.69753,0.016792,3,0.634339,0.432835,3,0.634339,0.583963,False,3,0.0,0.151128,review
179,Organizational Strategy,0.782922,0.009864,3,0.744412,0.626047,3,0.744412,0.714821,False,3,0.0,0.088774,review
180,Financial Risk,0.717337,0.021726,2,0.630631,0.369914,2,0.630631,0.587178,False,2,0.0,0.217265,review
181,Infrastructure,0.771471,0.027753,1,0.733118,0.400079,1,0.733118,0.705364,False,1,0.0,0.305286,review
183,Financial Risk,0.656933,0.022068,11,0.719327,0.454515,11,0.719327,0.476583,True,11,0.0,0.022068,review
185,Infrastructure,0.794338,0.009622,12,0.792322,0.676854,12,0.792322,0.676854,False,12,0.0,0.0,review
187,Infrastructure,0.564526,0.017794,10,0.554208,0.340681,10,0.554208,0.376269,False,10,0.0,0.035588,review
191,AI Governance,0.811333,0.005025,11,0.808279,0.747975,11,0.808279,0.753,False,11,0.0,0.005025,review
192,Organizational Strategy,0.667918,0.034707,11,0.711982,0.295504,11,0.711982,0.33021,True,11,0.0,0.034707,review
193,Infrastructure,0.809669,0.007402,4,0.554423,0.4656,4,0.554423,0.524815,False,4,0.0,0.059215,review
197,Healthcare,0.690387,0.025332,8,0.622952,0.318973,8,0.622952,0.420299,False,8,0.0,0.101326,review
198,Healthcare,0.79192,0.02587,4,0.651475,0.34104,4,0.651475,0.547997,False,4,0.0,0.206957,review
200,Organizational Strategy,0.770854,0.019462,10,0.709838,0.476294,10,0.709838,0.515218,False,10,0.0,0.038924,review
207,AI Governance,0.794506,0.022344,4,0.787942,0.519819,4,0.787942,0.698568,False,4,0.0,0.178749,review
208,Organizational Strategy,0.771749,0.018573,4,0.729437,0.506558,4,0.729437,0.655144,False,4,0.0,0.148586,review
210,Infrastructure,0.749093,0.027568,11,0.85998,0.52916,11,0.85998,0.556728,True,11,0.0,0.027568,review
211,Public Policy,0.571646,0.031938,6,0.930525,0.547264,1,0.666636,0.634697,True,1,0.263889,0.087433,review
214,Healthcare,0.765886,0.026856,11,0.827332,0.505056,11,0.827332,0.531912,True,11,0.0,0.026856,review
216,AI Governance,0.816392,0.006983,12,0.808684,0.724882,12,0.808684,0.724882,False,12,0.0,0.0,review
220,Healthcare,0.78134,0.009271,12,0.881024,0.769774,12,0.881024,0.769774,True,12,0.0,0.0,review
222,Financial Risk,0.814951,0.017723,10,0.694814,0.482141,10,0.694814,0.517587,False,10,0.0,0.035446,review
223,Financial Risk,0.59841,0.034962,5,0.927726,0.508186,1,0.627627,0.592666,True,1,0.300099,0.08448,review
229,Healthcare,0.787842,0.023835,11,0.708547,0.422524,11,0.708547,0.446359,False,11,0.0,0.023835,review
233,Organizational Strategy,0.808791,0.015886,5,0.787581,0.596953,5,0.787581,0.708153,False,5,0.0,0.1112,review
234,Financial Risk,0.743694,0.031303,11,0.720796,0.345162,11,0.720796,0.376465,False,11,0.0,0.031303,review
238,Infrastructure,0.731241,0.008967,11,0.672771,0.565165,11,0.672771,0.574132,False,11,0.0,0.008967,review
239,Organizational Strategy,0.818533,0.02791,11,0.866272,0.531349,11,0.866272,0.559259,True,11,0.0,0.02791,review
241,Financial Risk,0.811838,0.024685,2,0.614804,0.318582,2,0.614804,0.565433,False,2,0.0,0.246852,review
246,Infrastructure,0.708011,0.01104,1,0.655627,0.523145,1,0.655627,0.644587,False,1,0.0,0.121442,review
247,Infrastructure,0.790068,0.008508,12,0.719591,0.617492,12,0.719591,0.617492,False,12,0.0,0.0,review
249,Public Policy,0.757926,0.021711,3,0.748497,0.487969,3,0.748497,0.683365,False,3,0.0,0.195396,review
252,AI Governance,0.714808,0.009406,8,0.685765,0.572894,8,0.685765,0.610518,False,8,0.0,0.037623,review
254,Organizational Strategy,0.704647,0.009199,6,0.656105,0.545715,6,0.656105,0.60091,False,6,0.0,0.055195,review
255,Organizational Strategy,0.812784,0.029714,1,0.796493,0.439921,1,0.796493,0.766779,False,1,0.0,0.326858,review
261,AI Governance,0.625954,0.009842,12,0.726028,0.607918,12,0.726028,0.607918,True,12,0.0,0.0,review
265,Healthcare,0.56268,0.032552,5,0.898032,0.507411,2,0.589095,0.523992,True,2,0.308936,0.016581,review
268,AI Governance,0.80913,0.027631,1,0.807366,0.475791,1,0.807366,0.779735,False,1,0.0,0.303943,review
269,AI Governance,0.702846,0.01507,7,0.681234,0.500396,7,0.681234,0.575745,False,7,0.0,0.075349,review
270,Financial Risk,0.561854,0.005891,2,0.855136,0.784449,1,0.654089,0.648199,True,1,0.201046,-0.13625,review
271,Public Policy,0.581993,0.031482,8,0.841489,0.463708,1,0.594587,0.563105,True,1,0.246902,0.099397,review
274,Organizational Strategy,0.770202,0.025506,5,0.684703,0.378629,5,0.684703,0.557172,False,5,0.0,0.178543,review
275,Infrastructure,0.745078,0.018842,4,0.689877,0.463772,4,0.689877,0.614509,False,4,0.0,0.150736,review
276,Healthcare,0.813856,0.034828,4,0.78876,0.370828,4,0.78876,0.649449,False,4,0.0,0.278622,review
278,Infrastructure,0.713309,0.012405,11,0.823889,0.675026,11,0.823889,0.687432,True,11,0.0,0.012405,review
282,Public Policy,0.770219,0.01468,4,0.692691,0.516526,4,0.692691,0.633969,False,4,0.0,0.117443,review
285,Organizational Strategy,0.737995,0.011673,5,0.642585,0.502505,5,0.642585,0.584218,False,5,0.0,0.081713,review
293,Infrastructure,0.816455,0.030713,5,0.720845,0.352289,5,0.720845,0.56728,False,5,0.0,0.214991,review
294,Organizational Strategy,0.55789,0.03287,8,0.821858,0.427417,2,0.5966,0.53086,True,2,0.225259,0.103442,review
304,Public Policy,0.597447,0.02685,6,0.884101,0.561903,1,0.620058,0.593208,True,1,0.264043,0.031305,review
308,AI Governance,0.772946,0.006063,7,0.757177,0.684422,7,0.757177,0.714737,False,7,0.0,0.030314,review
311,Organizational Strategy,0.761334,0.008092,6,0.655213,0.55811,6,0.655213,0.606662,False,6,0.0,0.048552,review
316,Public Policy,0.805536,0.03152,1,0.799817,0.421582,1,0.799817,0.768298,False,1,0.0,0.346716,review
326,Financial Risk,0.752953,0.033762,2,0.742149,0.337003,2,0.742149,0.674624,False,2,0.0,0.337622,review
329,Public Policy,0.734194,0.020178,8,0.701706,0.459567,8,0.701706,0.54028,False,8,0.0,0.080713,review
337,AI Governance,0.741045,0.032618,12,0.746192,0.354778,12,0.746192,0.354778,True,12,0.0,0.0,review
340,Organizational Strategy,0.77843,0.026522,4,0.729278,0.411015,4,0.729278,0.62319,False,4,0.0,0.212175,review
344,AI Governance,0.817183,0.033023,2,0.666123,0.269844,2,0.666123,0.600077,False,2,0.0,0.330233,review
350,AI Governance,0.759122,0.030709,3,0.736574,0.368069,3,0.736574,0.644447,False,3,0.0,0.276378,review
352,Financial Risk,0.55421,0.006229,10,0.789012,0.714269,1,0.557597,0.551368,True,1,0.231415,-0.162901,review
365,Healthcare,0.713653,0.019361,1,0.655591,0.423258,1,0.655591,0.63623,False,1,0.0,0.212971,review
370,Financial Risk,0.813326,0.005484,12,0.843176,0.777374,12,0.843176,0.777374,True,12,0.0,0.0,review
371,Financial Risk,0.562045,0.032909,8,0.891588,0.496677,1,0.63485,0.601941,True,1,0.256738,0.105264,review
372,AI Governance,0.765515,0.023213,8,0.730546,0.451989,8,0.730546,0.544842,False,8,0.0,0.092852,review
373,Healthcare,0.799944,0.012348,11,0.783394,0.635214,11,0.783394,0.647563,False,11,0.0,0.012348,review
381,Healthcare,0.704577,0.009996,12,0.846765,0.726812,12,0.846765,0.726812,True,12,0.0,0.0,review
394,Organizational Strategy,0.585838,0.0066,4,0.833298,0.754097,1,0.594082,0.587482,True,1,0.239215,-0.166615,review
395,Organizational Strategy,0.764993,0.011223,5,0.740393,0.605713,5,0.740393,0.684276,False,5,0.0,0.078564,review
397,Healthcare,0.799035,0.031598,6,0.733235,0.35406,6,0.733235,0.543647,False,6,0.0,0.189587,review
400,Infrastructure,0.766959,0.005367,6,0.692229,0.627828,6,0.692229,0.660029,False,6,0.0,0.0322,review
401,Financial Risk,0.806014,0.026227,5,0.765568,0.450844,5,0.765568,0.634433,False,5,0.0,0.183589,review
403,Public Policy,0.599661,0.027403,12,0.673902,0.345066,12,0.673902,0.345066,True,12,0.0,0.0,review
410,Financial Risk,0.754644,0.022394,11,0.719859,0.451127,11,0.719859,0.473521,False,11,0.0,0.022394,review
419,Infrastructure,0.772564,0.031219,9,0.622863,0.248241,9,0.622863,0.341897,False,9,0.0,0.093656,review
421,Public Policy,0.70496,0.019053,11,0.721223,0.492582,11,0.721223,0.511636,True,11,0.0,0.019053,review
425,AI Governance,0.552504,0.020559,12,0.855226,0.608522,2,0.634262,0.593144,True,2,0.220964,-0.015378,review
427,Financial Risk,0.808364,0.025053,8,0.718425,0.41779,8,0.718425,0.518002,False,8,0.0,0.100212,review
430,Infrastructure,0.771407,0.031569,2,0.763801,0.384976,2,0.763801,0.700663,False,2,0.0,0.315687,review
431,Infrastructure,0.78174,0.013353,3,0.69957,0.539338,3,0.69957,0.659512,False,3,0.0,0.120174,review
434,Financial Risk,0.794277,0.024208,9,0.787879,0.497384,9,0.787879,0.570007,False,9,0.0,0.072624,review
441,Financial Risk,0.805785,0.026833,11,0.78156,0.459566,11,0.78156,0.486399,False,11,0.0,0.026833,review
446,Financial Risk,0.804947,0.01779,11,0.721288,0.507813,11,0.721288,0.525603,False,11,0.0,0.01779,review
447,Public Policy,0.772411,0.025525,6,0.667311,0.361011,6,0.667311,0.514161,False,6,0.0,0.15315,review
450,Public Policy,0.611734,0.029993,9,0.895218,0.535304,1,0.636863,0.60687,True,1,0.258356,0.071566,review
456,Financial Risk,0.707531,0.029848,12,0.711089,0.352918,12,0.711089,0.352918,True,12,0.0,0.0,review
464,Healthcare,0.762832,0.016444,5,0.713657,0.516332,5,0.713657,0.631438,False,5,0.0,0.115106,review
465,Financial Risk,0.809589,0.007007,6,0.734193,0.650107,6,0.734193,0.69215,False,6,0.0,0.042043,review
466,Financial Risk,0.735836,0.032304,5,0.731828,0.344175,5,0.731828,0.570306,False,5,0.0,0.226131,review
467,Infrastructure,0.712702,0.031727,9,0.68602,0.305292,9,0.68602,0.400474,False,9,0.0,0.095182,review
471,Healthcare,0.685158,0.014689,6,0.566915,0.390653,6,0.566915,0.478784,False,6,0.0,0.088131,review
473,Healthcare,0.703049,0.031531,11,0.701566,0.323189,11,0.701566,0.35472,False,11,0.0,0.031531,review
474,Public Policy,0.631931,0.016443,11,0.83925,0.641939,2,0.635527,0.602642,True,2,0.203723,-0.039297,review
478,Infrastructure,0.572071,0.017569,3,0.827781,0.616949,1,0.609287,0.591718,True,1,0.218494,-0.025232,review
480,Financial Risk,0.642656,0.016247,11,0.868093,0.673123,6,0.66361,0.566125,True,6,0.204483,-0.106998,review
481,Public Policy,0.5724,0.026728,12,0.818911,0.498171,1,0.609112,0.582383,True,1,0.209799,0.084213,review
482,AI Governance,0.581771,0.020502,10,0.843982,0.597957,2,0.627828,0.586824,True,2,0.216154,-0.011133,review
488,Financial Risk,0.812532,0.010755,9,0.761041,0.631976,9,0.761041,0.664242,False,9,0.0,0.032266,review
491,AI Governance,0.707712,0.027871,11,0.7519,0.417454,11,0.7519,0.445324,True,11,0.0,0.027871,review
493,Organizational Strategy,0.628483,0.011927,10,0.898257,0.755134,7,0.63199,0.548502,True,7,0.266267,-0.206633,review
